,rmssd,sdnn,sdsd,nn50,pnn50,mrri,mhr,ln(sdnn),stdhr,cvrr
A00001,100.64357470364978,65.31857711644153,102.02773965770126,4.0,10.526315789473683,761.6666666666667,79.33086638421435,4.1792764845894625,6.890820058730288,8.57574316627241
A00002,290.7802004951506,222.41647128829445,295.0664943891649,19.0,57.57575757575758,893.4343434343434,72.73017058103486,5.404551621182093,24.004782402030443,24.894551336960035
A00003,229.54940490650222,155.06583713189005,231.05301953339162,32.0,41.02564102564102,763.7606837606837,82.1961823077424,5.043849782425698,19.738613253531668,20.30293525563019
A00004,237.09663602593523,189.47377294289006,241.1031479872228,24.0,77.41935483870968,936.0215053763442,66.65470527741432,5.244250613587349,13.3122964215724,20.242459372416743
A00005,292.01872440053705,211.5566961985278,293.68906423949187,64.0,73.5632183908046,668.0842911877393,98.95110403416527,5.354493029695278,30.106937327013856,31.66616832472086
A00006,309.46673184634585,219.49833446993256,315.58343743439076,10.0,37.03703703703704,1073.9506172839506,57.52700623917082,5.3913446446501405,9.202493413907948,20.438401071461705
A00007,204.6200789115451,236.50550968310623,207.13842693541713,26.0,61.904761904761905,686.3492063492063,98.47376036025764,5.465971504417943,33.77509960104019,34.458480828019646
A00008,209.6349813290363,171.74598195043436,211.04028269544852,24.0,33.80281690140845,820.3755868544599,78.1971815048286,5.1460165360715004,25.018308953096515,20.93504300986753
A00009,228.5527589777985,153.7548371397898,231.19461796116101,29.0,64.44444444444444,643.9259259259259,97.2609297756071,5.035359367263542,18.9829456546957,23.877721170909496
A00010,40.79673881215546,40.37655512427607,41.106128868747135,2.0,3.125,915.2604166666666,65.70799400330486,3.6982492978109933,3.5554644655320664,4.411482720002848
A00011,369.32964403756205,247.46197061484986,374.28493543970967,26.0,66.66666666666666,749.9999999999998,90.71714075003673,5.511256916121333,34.72498343214479,32.99492941531332
A00012,289.09040781196614,217.23342733764977,293.6088751979103,10.0,30.303030303030305,885.0505050505051,71.65025660545781,5.38097247740444,18.998018441849805,24.544749265495692
A00013,76.80181325019947,48.96749280475229,77.65372502398715,20.0,43.47826086956522,644.7101449275362,93.57223148385539,3.8911566658075007,6.857781361907883,7.5952725717161025
A00014,370.37791238112186,267.6867839791197,378.4893137912359,22.0,95.65217391304348,790.5797101449275,85.62221025487557,5.589817580533328,31.475826953394243,33.859556543646676
A00015,347.4377109108379,339.42282164264066,354.5794269952914,21.0,84.0,806.5333333333333,85.1990156701547,5.827246591678731,29.246458620710413,42.08416535493147
A00016,133.5032700840063,115.21339660967074,135.31516369890034,19.0,50.0,771.2280701754386,79.11871159777104,4.746786031515134,9.181707867565347,14.938952699616086
A00017,509.16531941327753,366.37826971702543,515.0461736345682,23.0,54.761904761904766,702.063492063492,107.21507428628894,5.903666323500344,44.45280566399303,52.18591678085599
A00018,233.4285520001546,222.68100789182756,237.86190167232155,10.0,35.714285714285715,1023.3333333333336,63.83688139542365,5.405740289494338,25.61012783354971,21.76035907737728
A00019,463.8227371868821,392.3222774722077,469.7753245139519,14.0,36.84210526315789,957.8947368421054,69.33671624100155,5.972083638430134,18.20493590822442,40.95672127457113
A00020,372.7638030346467,228.11214553463412,377.8975697724273,24.0,63.1578947368421,776.140350877193,83.63355869924717,5.429837374407799,23.838428334652264,29.3905793297336
A00021,291.39998882699376,244.03846928112955,294.84836861922935,28.0,63.63636363636363,671.5909090909091,101.76397752182567,5.49732587385425,35.40303359193052,36.337369368425385
A00022,290.3420370847089,253.65617920074487,294.33878210658094,23.0,60.526315789473685,769.4736842105264,85.72853477566684,5.535979724846446,26.034362212746473,32.964893329782164
A00023,261.29054962388386,213.68390123464184,264.4557617374184,17.0,39.53488372093023,689.4573643410852,97.18183319420282,5.3644978260042,33.939578529752225,30.993055159960427
A00024,311.34676095240746,187.91116534311118,316.2095597275365,18.0,54.54545454545454,862.4242424242423,73.20213560301546,5.235969326384254,17.690757121030707,21.78871558792224
A00025,277.50418272265995,235.19116769460547,281.55540374525094,18.0,50.0,803.1481481481483,83.11470207877548,5.460398663000512,29.892982714387145,29.28365933942516
A00026,246.52815597258416,155.68678327204495,251.09528982254278,16.0,57.14285714285714,1032.5,59.462019816916765,5.047846189379815,9.471834221672182,15.078623077195635
A00027,225.46014089473803,162.68669883733546,228.05726788354647,36.0,83.72093023255815,665.9689922480619,94.97815821404255,5.091826258193049,21.426242841727433,24.428569607747967
A00028,250.85286622605523,212.2182277469591,252.59336512057996,30.0,41.0958904109589,811.2328767123288,81.46687328626084,5.35761512139257,29.456843871696172,26.15996390666669
A00029,224.11047510213584,178.86448167771078,226.6976904317188,11.0,24.444444444444443,655.4814814814815,95.70963073220759,5.186628433507341,16.020545368399546,27.287495792169686
A00030,453.4721305439582,325.2093093321448,457.4161697285074,49.0,83.05084745762711,990.4519774011299,69.42003660787447,5.784469003746536,28.897439367995545,32.83443485927194
A00031,349.8670382365913,212.74923213106487,354.27900179252947,25.0,60.97560975609756,719.1056910569105,90.62940568097433,5.360114158192281,27.160305072009315,29.58525217876878
A00032,262.2618345113712,249.31247613863493,266.0813955483474,17.0,47.22222222222222,790.6481481481483,85.38194683100843,5.518707033956962,31.44123405123983,31.532670597227508
A00033,299.35534081035627,198.16530788034476,304.2019152748216,19.0,59.375,933.125,68.31791353821814,5.2891015706537425,20.78527793030986,21.236737616111963
A00034,311.79460068428546,246.55401045317993,316.1989764643252,32.0,88.88888888888889,801.7592592592592,82.95381646083659,5.507581078825328,28.903852394085668,30.751626202729454
A00035,306.86949814031516,176.84597435335206,310.7226665349271,31.0,75.60975609756098,714.8780487804877,89.68229595510236,5.1752791523353086,24.595509824038814,24.737922035098723
A00036,213.613294835878,145.35158950352837,216.92239182268406,13.0,38.23529411764706,834.4117647058823,74.33851627305388,4.97915556264188,14.886172903984077,17.41964766697203
A00037,238.23507798171192,157.4532966191769,239.6644659203771,27.0,31.76470588235294,693.6862745098038,90.12744204666,5.0591288848901,17.816608862543877,22.698055649211444
A00038,674.8349592472387,578.2875545319091,686.4980105714207,23.0,88.46153846153845,1089.102564102564,70.42792711608767,6.360071244150839,35.023249511283055,53.09762125189984
A00039,649.6036839770532,435.3081037165405,658.7893207814067,27.0,84.375,929.7916666666667,77.72411042734672,6.076054064779503,33.90255734056986,46.817810841124675
A00040,175.26125623339553,160.5347105708294,177.49617636365056,15.0,41.66666666666667,810.1851851851851,77.48021775466171,5.078510184426928,19.10805309424528,19.814569990456658
A00041,309.88752439841426,221.0720063199314,313.82439016629644,31.0,75.60975609756098,708.4552845528456,93.69023120161533,5.3984884689019745,30.952959175277613,31.20479318034377
A00042,595.7022000220504,363.6356001180338,604.4978060705167,27.0,77.14285714285715,835.3333333333334,81.68380672351206,5.896152267626046,25.35151335922102,43.53179570447331
A00043,237.32359084694207,197.44925037146376,240.14359116978324,21.0,48.837209302325576,1143.875968992248,55.314529089852066,5.285481591176775,17.79013164209484,17.261421318730566
A00044,20.595703594098158,16.790575810289628,20.904483376364972,0.0,0.0,838.1904761904763,71.61049104694752,2.8208177653369892,1.4247917781745942,2.0031933417570853
A00045,389.68438712453883,276.510198406127,395.4850282949614,22.0,62.857142857142854,830.9523809523811,81.90244597161636,5.622247704210321,30.937386914082687,33.27629894858835
A00046,246.7306428091373,162.73642043647104,249.58046781165456,27.0,60.0,654.2962962962963,97.18005539312358,5.092131839429155,24.318371953927144,24.871976405438232
A00047,134.74072037953138,97.55607275951506,136.26029754432759,9.0,19.565217391304348,640.5797101449275,95.75089427014659,4.5804273179199635,14.776178933676684,15.229341675127916
A00048,185.66779705753373,188.01511379766706,188.27282822628578,13.0,35.13513513513514,796.5765765765766,81.59440812779613,5.236522352139424,27.67324539238431,23.602892593916582
A00049,141.50121056935376,124.97808649018398,143.92016553815967,6.0,19.35483870967742,923.6559139784947,67.05594523586193,4.828138413855515,16.352775126652116,13.530805638634586
A00050,416.0240499069856,291.8039984525689,420.71397947447923,42.0,93.33333333333333,644.5185185185187,107.06949558187787,5.676082338710941,34.69098783131454,45.27472680277761
A00051,217.0998417084666,131.2758971812023,219.0641827447293,16.0,28.07017543859649,1008.1871345029241,60.606855813568295,4.8773011938650885,8.880390763322678,13.020985161244544
A00052,201.667814505457,159.2188105395516,205.73025935317963,13.0,52.0,810.5333333333333,77.73918811799226,5.07027942308581,20.339004154252287,19.64370914700834
A00053,376.0160309821319,285.64304861052057,380.61495262961245,33.0,80.48780487804879,707.3983739837398,97.108281661134,5.654742949535733,32.97510503572696,40.37937590977362
A00054,289.13618841254623,225.33600139086772,292.4631291196174,35.0,81.3953488372093,678.6046511627906,97.86616677033336,5.417592627796773,31.11207671995931,33.20578498905865
A00055,103.27374044482684,116.54026885950105,104.69683899125813,10.0,26.31578947368421,778.7719298245614,78.28767101712393,4.758236868727035,8.622657307216533,14.964621142130119
A00056,398.25545496252454,289.56279057677574,403.2525208743809,34.0,85.0,733.6666666666666,93.66327204032702,5.66837216667915,32.8000459871009,39.467895126321096
A00057,445.38165073879594,328.28668591362054,454.9501397182219,19.0,76.0,919.7333333333332,73.79651269730348,5.793887269051072,28.15469801869133,35.69368142000804
A00058,208.9873455363153,146.60584143707652,210.20983443836315,52.0,59.77011494252874,680.8045977011495,92.6759642685224,4.987747634750644,22.282823018928223,21.534202608518747
A00059,119.37221944806207,123.76143536830563,120.18415842720243,5.0,8.064516129032258,953.5483870967743,64.97674108725991,4.818355804196146,16.24396580427124,12.979040921574676
A00060,387.74955514368327,258.8235189003694,390.9832732928671,44.0,73.33333333333333,768.5,86.74528437597515,5.556146435237927,28.35397185568494,33.67905255697715
A00061,246.8504306966774,144.00533857304575,250.2548250833088,15.0,39.473684210526315,760.0000000000001,82.78865185476432,4.969850372312727,21.708187855471248,18.94807086487444
